pmid,year,title,species,observation_type,entity_a,relationship,entity_b_or_context,confidence,supporting_quote,needs_full_text,reviewed,devSim_param,entity_a_raw,entity_b_raw,source,evidence_type,figure_ref,timepoint_h,perturbation_type,dataset
35908548,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,mouse,grn_edge,NM signaling,required_for,ectoderm and anterior-posterior mesodermal axis specification,high,impaired differentiation consequence of cell-intrinsic failure to induce NM signaling affects balance and synchronization of epiblast conversion to ectoderm and mesodermal axis,False,False,unmapped,NM signaling,ectoderm and anterior-posterior mesodermal axis specification,fulltext,direct,,180,none,mouse_embryo
35908548,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,mouse,perturbation,TET1/TET2/TET3,required_for,NM signaling induction,high,"cell-intrinsic failure to induce NM signaling (Lefty, FGF, and Notch)",False,False,unmapped,TET1/TET2/TET3,NM signaling induction,fulltext,direct,,180,genetic_KO,mouse_embryo
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,grn_edge,endoderm-derived factors,required_for,hemogenic fate and HSC development,medium,endoderm-derived factors are needed to guide hemogenic fate and HSC development,False,False,unmapped,endoderm-derived factors,hemogenic fate and HSC development,fulltext,cited,,96,none,gastruloid
35908548,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,mouse,perturbation,TET1/TET2/TET3,required_for,epiblast maturation,high,"loss of Tet expression leads to failure to repress early epiblast program, resulting in delayed epiblast maturation",False,False,unmapped,TET1/TET2/TET3,epiblast maturation,fulltext,direct,,180,genetic_KO,mouse_embryo
35880022,2022,An automated do-it-yourself system for dynamic stem cell and organoid culture in standard multi-well plates.,mouse,perturbation,EpiLC-inducing conditions,abolishes,ESC-like state maintenance,high,majority of cells have lost the ability to maintain an ESC-like state upon reversion into naive pluripotency-promoting conditions,False,False,unmapped,EpiLC-inducing conditions,ESC-like state maintenance,fulltext,direct,,48,pharmacological,gastruloid
35880022,2022,An automated do-it-yourself system for dynamic stem cell and organoid culture in standard multi-well plates.,mouse,expression_timing,ESC-to-EpiLC transition,correlates_with,point of no return for pluripotency maintenance,high,refined the developmental point of no return to lie around 29 to 35 h of EpiLC stimulation,False,False,unmapped,ESC-to-EpiLC transition,point of no return for pluripotency maintenance,fulltext,direct,,29-35,none,gastruloid
35880022,2022,An automated do-it-yourself system for dynamic stem cell and organoid culture in standard multi-well plates.,mouse,perturbation,Wnt,modulates,gastruloid developmental potential,medium,time-varying activation of the Wnt-signaling pathway through temporally modulated Chir stimulation,False,False,unmapped,Wnt signaling,gastruloid developmental potential,fulltext,direct,,not_specified,pharmacological,gastruloid
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Wnt and Fzd genes,low_in,ventral and visceral regions across all stages,high,territories where no Wnt and no Fzd expression is detected across the three stages are largely ventral and visceral,False,False,unmapped,Wnt and Fzd genes,ventral and visceral regions across all stages,fulltext,direct,Fig. 2A,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Wnt11,high_in,ventral region at E10.5,high,expression of Wnt2 across stages and Wnt11 at E10.5 predominantly ventral,False,False,unmapped,Wnt11,ventral region at E10.5,fulltext,direct,Fig. 3C,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Wnt2,high_in,ventral region,high,"Territories in which the expression of only one Wnt gene was detected are also predominantly ventral, in particular expression of Wnt2 across stages",False,False,unmapped,Wnt2,ventral region,fulltext,direct,Fig. 3C,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Tcf/Lef-GFP,high_in,overlap of Fzd and Wnt domains in dorsal aspects,high,"canonical read-out, at any stage, largely fits within the overlap of Fzd and Wnt domains",False,False,unmapped,Tcf/Lef-GFP,overlap of Fzd and Wnt domains in dorsal aspects,fulltext,direct,Fig. 2A,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Fzd expression,high_in,ventral diencephalon,high,"ventral diencephalon at E10.5 and 11.5, and part of the developing limbs at E10.5",False,False,unmapped,Fzd expression,ventral diencephalon,fulltext,direct,Fig. 2A,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Fzd expression,high_in,anterior telencephalon at E10.5,high,"anterior telencephalon at E10.5, where Fzd3, 6, 7, 8 and 10 are expressed",False,False,unmapped,Fzd expression,anterior telencephalon at E10.5,fulltext,direct,Fig. 2A,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Fzd receptor genes,high_in,"neural tube, limb, branchial arches and heart",high,"canonical read-out largely fits within the overlap of Fzd and Wnt domains, in the dorsal aspects of the main body axis, prominent in the neural tube",False,False,unmapped,Fzd receptor genes,"neural tube, limb, branchial arches and heart",fulltext,direct,Fig. 2A,96,none,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Wnt genes,low_in,ventral and visceral regions,high,"regions can be seen to express Wnt genes in the absence of detected Fzd expression are extensive, largely ventral and visceral",False,False,unmapped,Wnt genes,ventral and visceral regions,fulltext,direct,Fig. 2A,96,none,mouse_embryo
35908548,2022,The intrinsic and extrinsic effects of TET proteins during gastrulation.,mouse,perturbation,TET1/TET2/TET3,required_for,mesoderm and ectoderm lineage formation,high,"failure to form mesoderm and ectoderm lineages, excessive differentiation toward extraembryonic mesoderm",False,False,unmapped,TET1/TET2/TET3,mesoderm and ectoderm lineage formation,fulltext,direct,"Fig. 1B, S1G-H, S1I, S2E",180,genetic_KO,mouse_embryo
35831952,2022,Integrated analysis of Wnt signalling system component gene expression.,mouse,spatial_pattern,Wnt genes,high_in,dorsal and lateral regions of embryo,high,domains with expression of multiple genes in all families are in dorsal and lateral regions,False,False,unmapped,Wnt genes,dorsal and lateral regions of embryo,fulltext,direct,"Fig. 2A, Fig. 3C",96,none,mouse_embryo
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,Tal1/SCL,upregulates,hematopoietic development,high,"transcription factors typically associated with hematopoietic development, such as Tal1/SCL, Etv2, Lmo2, Thy1, and Gata2",False,False,unmapped,Tal1/SCL,hematopoietic development,fulltext,direct,Fig. 1d,96,none,gastruloid
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,perturbation,Cdx2,required_for,TSC-like cell fate acquisition,high,Cdx2 overexpression leads ESCs to transdifferentiate into TSC-like cells,False,False,unmapped,Cdx2,TSC-like cell fate acquisition,fulltext,direct,"Fig. 1B, 1C, S1D-H",72,genetic_OE,mouse_embryo
36160885,2022,RRM2 regulates osteogenesis of mouse embryo fibroblasts via the Wnt/β‑catenin signaling pathway.,mouse,grn_edge,RRM2,modulates,Wnt/β-catenin signaling pathway,medium,RRM2 regulates osteogenesis via the Wnt/β-catenin signaling pathway,False,False,unmapped,RRM2,Wnt/β-catenin signaling pathway,fulltext,review,,not_specified,none,mouse_embryo
36160885,2022,RRM2 regulates osteogenesis of mouse embryo fibroblasts via the Wnt/β‑catenin signaling pathway.,mouse,perturbation,RRM2,reduces,early and late bone formation markers,high,expression levels of early and late bone formation markers were considerably reduced when RRM2 was knocked down,False,False,unmapped,RRM2,early and late bone formation markers,fulltext,direct,Fig. 3,48,genetic_KO,mouse_embryo
36160885,2022,RRM2 regulates osteogenesis of mouse embryo fibroblasts via the Wnt/β‑catenin signaling pathway.,mouse,perturbation,RRM2,enhances,ALP activity and calcium salt accumulation,high,RRM2 overexpression was found to increase ALP activity and calcium salt accumulation in MEFs,False,False,unmapped,RRM2,ALP activity and calcium salt accumulation,fulltext,direct,"Fig. 2H, 2I, 2L",not_specified,genetic_OE,mouse_embryo
36160885,2022,RRM2 regulates osteogenesis of mouse embryo fibroblasts via the Wnt/β‑catenin signaling pathway.,mouse,perturbation,RRM2,enhances,late osteogenic markers OPN and OCN,high,late osteogenesis-related genes osteopontin and osteocalcin in the AdRRM2 group were upregulated,False,False,unmapped,RRM2,late osteogenic markers OPN and OCN,fulltext,direct,"Fig. 2J, 2K",not_specified,genetic_OE,mouse_embryo
36160885,2022,RRM2 regulates osteogenesis of mouse embryo fibroblasts via the Wnt/β‑catenin signaling pathway.,mouse,perturbation,RRM2,enhances,"early osteogenic markers RUNX2, OSX, DLX5, COL1A1",high,early osteogenic markers were upregulated in the AdRRM2 group,False,False,unmapped,RRM2,"early osteogenic markers RUNX2, OSX, DLX5, COL1A1",fulltext,direct,Fig. 2D-G,48,genetic_OE,mouse_embryo
36160885,2022,RRM2 regulates osteogenesis of mouse embryo fibroblasts via the Wnt/β‑catenin signaling pathway.,mouse,expression_timing,RRM2,increases_during,osteogenic induction of MEFs,high,RRM2 expression increased as the osteogenic induction stage progressed,False,False,unmapped,RRM2,osteogenic induction of MEFs,fulltext,direct,"Fig. 1D, 1E",not_specified,none,mouse_embryo
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,perturbation,Wnt,abolishes,required pathway for endoderm formation,medium,endoderm may form independently of WNT activity via a distinct transcriptional network,False,False,unmapped,WNT signaling,required pathway for endoderm formation,fulltext,direct,,not_specified,none,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,spatial_pattern,T (Brachyury),high_in,NMPs in hypoxic gastruloids,high,increased amount of NMPs and (pre-)somitic mesodermal cells in NH +Chi compared with conventional NN +Chi,False,False,unmapped,T (Brachyury),NMPs in hypoxic gastruloids,fulltext,direct,,not_specified,none,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,grn_edge,Glycolysis,modulates,neuro-mesodermal lineage choice via FGF/WNT pathway,medium,increased glycolysis might contribute to glycolysis shaping neuro-mesodermal lineage choice via FGF/WNT,False,False,unmapped,Glycolysis,neuro-mesodermal lineage choice via FGF/WNT pathway,fulltext,review,,not_specified,none,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,expression_timing,GATA4,high_in,XEN cells exposed to hypoxia,high,even higher expression of CDX2 and GATA4 in hypoxia,False,False,unmapped,GATA4,XEN cells exposed to hypoxia,fulltext,direct,"Fig. 1B,C",168,pharmacological,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,expression_timing,CDX2,high_in,TSCs exposed to hypoxia,high,higher expression of CDX2 and GATA4 in hypoxia,False,False,unmapped,CDX2,TSCs exposed to hypoxia,fulltext,direct,"Fig. 1B,C",168,pharmacological,gastruloid
35927563,2022,Gastruloids as in vitro models of embryonic blood development with spatial and temporal resolution.,mouse,expression_timing,GATA6,upregulates,hematopoietic development,high,"transcription factors typically associated with hematopoietic development, such as Tal1/SCL, Etv2, Lmo2, Thy1, and Gata2",False,False,unmapped,GATA6,hematopoietic development,fulltext,direct,Fig. 1d,96,none,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,expression_timing,ESCs,high_in,pluripotency markers (NANOG) after hypoxia exposure,high,stem cells remained undifferentiated and retained markers after 7 days of hypoxia exposure,False,False,unmapped,ESCs,pluripotency markers (NANOG) after hypoxia exposure,fulltext,direct,"Fig. 1B,C",168,pharmacological,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,spatial_pattern,node/notochordal cells,high_in,hypoxic gastruloids,high,a distinct population of node/notochordal cells arise in hypoxia,False,False,unmapped,node/notochordal cells,hypoxic gastruloids,fulltext,direct,,not_specified,none,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,perturbation,Hypoxia,enhances,axial elongation in gastruloids,high,hypoxia could be harnessed to induce axial elongation and improve germ layer representation,False,False,unmapped,Hypoxia,axial elongation in gastruloids,fulltext,direct,,not_specified,pharmacological,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,perturbation,Hypoxia,enhances,mesodermal derivatives representation in gastruloids,high,hypoxia enhances the representation of mesodermal derivatives in conventional gastruloids,False,False,unmapped,Hypoxia,mesodermal derivatives representation in gastruloids,fulltext,direct,,not_specified,pharmacological,gastruloid
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,spatial_pattern,Hypoxia,high_in,endoderm lineage in gastruloids,high,endoderm is highly enriched by hypoxia exposure,False,False,unmapped,Hypoxia,endoderm lineage in gastruloids,fulltext,direct,,not_specified,none,gastruloid
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,expression_timing,Cdx2,correlates_with,Day 4 embryoid development,high,by Day 4 could observe structures that resembled post-implantation embryos,False,False,unmapped,Cdx2,Day 4 embryoid development,fulltext,direct,Fig. 1E,96,genetic_OE,mouse_embryo
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,perturbation,FGF4,enhances,embryoid structure formation efficiency,high,optimised efficiency by adding Fgf4 and heparin during first 24 hours,False,False,unmapped,FGF4,embryoid structure formation efficiency,fulltext,direct,"Fig. 1D, 1F",96,pharmacological,mouse_embryo
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,spatial_pattern,Cdx2-positive cells,high_in,TE-derived extra-embryonic ectoderm compartment,high,i Cdx2 ESCs had given rise to Cdx2-positive cells that correctly localised,False,False,unmapped,Cdx2-positive cells,TE-derived extra-embryonic ectoderm compartment,fulltext,direct,,96,genetic_OE,mouse_embryo
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,grn_edge,Cdx2,activates,Gata3,high,Gata3 were also upregulated in induced i Cdx2 ESC aggregates,False,False,unmapped,Cdx2,Gata3,fulltext,direct,Fig. S1H,72,genetic_OE,mouse_embryo
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,grn_edge,Cdx2,activates,Elf5,high,Transcripts of the TSC markers Elf5 upregulated in induced i Cdx2 ESC aggregates,False,False,unmapped,Cdx2,Elf5,fulltext,direct,Fig. S1F,72,genetic_OE,mouse_embryo
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,grn_edge,Cdx2,inhibits,Oct4,high,"downregulation of the ESC marker, Oct4, in aggregates of induced i Cdx2 ESCs",False,False,unmapped,Cdx2,Oct4,fulltext,direct,Fig. 1C,72,genetic_OE,mouse_embryo
36084657,2022,Mouse embryo model derived exclusively from embryonic stem cells undergoes neurulation and heart development.,mouse,grn_edge,Cdx2,activates,Eomes,high,"significant upregulation of the TSC marker, Eomes in induced i Cdx2 ESC aggregates",False,False,unmapped,Cdx2,Eomes,fulltext,direct,Fig. 1B,72,genetic_OE,mouse_embryo
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",mammalian,perturbation,Hypoxia,modulates,NMP differentiation balance,medium,hypoxia enhances mesodermal derivatives likely via more balanced NMP differentiation,False,False,unmapped,Hypoxia,NMP differentiation balance,fulltext,direct,,not_specified,pharmacological,gastruloid
35721464,2022,A combined human gastruloid model of cardiogenesis and neurogenesis.,human,spatial_pattern,FOXA2,high_in,foregut initialization at day 7,high,Inset is high magnification Z-slice of FOXA2 foregut (fg) initialization,False,False,unmapped,FOXA2,foregut initialization at day 7,fulltext,direct,Fig. 1B,168,none,gastruloid
35721464,2022,A combined human gastruloid model of cardiogenesis and neurogenesis.,human,spatial_pattern,TUJ1,high_in,anterior neural regions at day 7,high,"EMLOC immunostained for TUJ1 (red), cTnT (magenta), FOXA2 (cyan)",False,False,unmapped,TUJ1,anterior neural regions at day 7,fulltext,direct,Fig. 1B,168,none,gastruloid
35721464,2022,A combined human gastruloid model of cardiogenesis and neurogenesis.,human,spatial_pattern,cTnT,high_in,cardiogenic chamber-like structures at day 7,high,validated by expression of the early cardiogenic transcription factor GATA6 along with cardiac Troponin T (cTnT),False,False,unmapped,cTnT,cardiogenic chamber-like structures at day 7,fulltext,direct,"Fig. 1B, S1G",168,none,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,spatial_pattern,Lefty,high_in,front of Nodal expansion,high,Lefty is expressed specifically at the front of expansion,False,False,unmapped,Lefty,front of Nodal expansion,fulltext,direct,,not_specified,none,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,spatial_pattern,Nodal,high_in,2D-gastruloids colony edge,high,Nodal does not travel more than one cell diameter in any context we examined,False,False,unmapped,Nodal,2D-gastruloids colony edge,fulltext,direct,Fig. 1d,40,none,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,perturbation,Lefty1/2,abolishes,Nodal propagation restraint,high,compound deletion of Lefty1/2 causes more rapid inward spread and an expansion of the mesendodermal territory,False,False,unmapped,Lefty1/2,Nodal propagation restraint,fulltext,direct,Fig. 6b,not_specified,genetic_KO,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,grn_edge,Lefty,inhibits,Nodal propagation,high,Lefty is crucial for controlling the timing of Nodal propagation and in turn the extent of differentiation,False,False,unmapped,Lefty,Nodal propagation,fulltext,direct,,not_specified,genetic_KO,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,grn_edge,Nodal,activates,Lefty,high,"As Nodal expands, Lefty is expressed specifically at the front of expansion",False,False,unmapped,Nodal,Lefty,fulltext,direct,,not_specified,none,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,grn_edge,BMP,modulates,Nodal,medium,BMP4 does not stimulate Nodal expression directly; BMP signaling induces Nodal through a Wnt intermediate,False,False,unmapped,BMP4,Nodal,fulltext,direct,"Fig. 1b, 1c",not_specified,pharmacological,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,grn_edge,Wnt3A,activates,cNodal,high,cNodal expression level increases in response to addition of Wnt3A,False,False,unmapped,Wnt3A,cNodal,fulltext,direct,"Fig. 1b, 1c",not_specified,pharmacological,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,grn_edge,Activin,activates,cNodal,high,cNodal expression level increases in response to addition of Activin A,False,False,unmapped,Activin,cNodal,fulltext,direct,Fig. 1b,not_specified,pharmacological,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,spatial_pattern,cNodal,low_in,apical side of cells,high,less protein localized to the apical side,False,False,unmapped,cNodal,apical side of cells,fulltext,direct,Fig. 1a,not_specified,reporter,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,spatial_pattern,cNodal,high_in,basolateral side of cells,high,cNodal and Lefty showed the highest levels at the basolateral side,False,False,unmapped,cNodal,basolateral side of cells,fulltext,direct,Fig. 1a,not_specified,reporter,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,perturbation,YAP1,modulates,OCT4 levels,medium,YAP1 KO gastruloids retained higher levels of OCT4compared with WT,False,False,unmapped,YAP1,OCT4 levels,fulltext,direct,Fig. S1E-S1F,48,genetic_KO,gastruloid
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,human,grn_edge,Nodal signaling,activates,TBXT/Brachyury,high,pSmad2/3 and BRA were compared,False,False,unmapped,Nodal signaling,TBXT/Brachyury,fulltext,direct,Fig. 1e,not_specified,pharmacological,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,spatial_pattern,YAP1,correlates_with,nuclear localization in ectoderm,high,the nuclear location of YAP1 is necessary for ectoderm differentiation,False,False,unmapped,YAP1,nuclear localization in ectoderm,fulltext,direct,Fig. 1G-1J,0,none,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,perturbation,YAP1,inhibits,mesoderm and endoderm differentiation,high,YAP1 KO gastruloids displayed expanded mesoderm and endoderm rings that populated the center of the colony,False,False,unmapped,YAP1,mesoderm and endoderm differentiation,fulltext,direct,Fig. 1A-1E,48,genetic_KO,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,spatial_pattern,YAP1,low_in,mesoderm and endoderm rings,high,"Near the edge, coinciding with the prospective endoderm and mesoderm rings, YAP1 levels decrease and accumulate in the cytoplasm",False,False,unmapped,YAP1,mesoderm and endoderm rings,fulltext,direct,Fig. 1G-1J,0,none,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,spatial_pattern,YAP1,high_in,interior of colony (future ectoderm),high,"In the interior of the colony, we identified a second peak of YAP1 levels, mostly nuclear, that overlapped with the future ectoderm area",False,False,unmapped,YAP1,interior of colony (future ectoderm),fulltext,direct,Fig. 1G-1J,0,none,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,spatial_pattern,YAP1,high_in,periphery of colony (extraembryonic tissue),high,"In the periphery of the colony, YAP1 was highly expressed and predominantly nuclear",False,False,unmapped,YAP1,periphery of colony (extraembryonic tissue),fulltext,direct,Fig. 1G-1J,0,none,gastruloid
35063126,2022,YAP1 regulates the self-organized fate patterning of hESC-derived gastruloids.,human,perturbation,YAP1,required_for,ectoderm specification,high,YAP1 KO gastruloids showed significantly reduced ectoderm-positive cells expressing SOX2 and OTX2 markers,False,False,unmapped,YAP1,ectoderm specification,fulltext,direct,Fig. 1A-1E,48,genetic_KO,gastruloid
34930826,2022,Circadian key component CLOCK/BMAL1 interferes with segmentation clock in mouse embryonic organoids.,mouse,perturbation,CLOCK/BMAL1 induction,abolishes,Hes7 ultradian oscillation in gastruloids,high,premature expression of circadian key components CLOCK/BMAL1 severely interferes with the ultradian rhythm of the segmentation clock in iPSM and gastruloids,False,False,unmapped,CLOCK/BMAL1 induction,Hes7 ultradian oscillation in gastruloids,fulltext,direct,,96,genetic_OE,gastruloid
34930826,2022,Circadian key component CLOCK/BMAL1 interferes with segmentation clock in mouse embryonic organoids.,mouse,grn_edge,CLOCK,requires,BMAL1,medium,Dox-induced CLOCK sole expression resulted in only partial up-regulation of E-box-driven circadian clock genes,False,False,unmapped,CLOCK,BMAL1,fulltext,direct,"SI Appendix, Fig. S3",96,genetic_OE,gastruloid
34930826,2022,Circadian key component CLOCK/BMAL1 interferes with segmentation clock in mouse embryonic organoids.,mouse,expression_timing,Hes7 segmentation clock,high_in,iPSM during multilayered circadian suppression,high,"During the multilayered suppression of circadian clock oscillation, the ultradian temporal oscillation of Hes7 expression proceeds",False,False,unmapped,Hes7 segmentation clock,iPSM during multilayered circadian suppression,fulltext,direct,,96,none,gastruloid
34930826,2022,Circadian key component CLOCK/BMAL1 interferes with segmentation clock in mouse embryonic organoids.,mouse,expression_timing,circadian clock oscillation,anticorrelates_with,early embryo development,high,circadian clock oscillation is suppressed in the iPSM by the common mechanisms to the ESCs and early embryos,False,False,unmapped,circadian clock oscillation,early embryo development,fulltext,direct,"SI Appendix, Fig. S2",96,none,gastruloid
